day,active_traders,total_trades,total_volume_usd,avg_trade_size,real_payers,real_payer_ratio
2025-06-25 00:00:00,4031,53313,66867753.37,1254.248558,2648,0.7
2025-06-24 00:00:00,12471,273203,382369619,1399.580601,7072,0.6
2025-06-23 00:00:00,40387,351415,526674007,1498.723751,6727,0.2
2025-06-22 00:00:00,12343,354761,492557628,1388.421016,7940,0.6
2025-06-21 00:00:00,11911,182865,306711085,1677.254177,6479,0.5
2025-06-20 00:00:00,13048,212542,349470752.1,1644.243265,7185,0.6
2025-06-19 00:00:00,15014,162487,202672582.8,1247.315679,8481,0.6
2025-06-18 00:00:00,14069,266994,436522265.4,1634.951592,9094,0.6
2025-06-17 00:00:00,17557,296196,458236245.1,1547.071011,11708,0.7
2025-06-16 00:00:00,12937,262244,434070221,1655.215071,7792,0.6
2025-06-15 00:00:00,10834,146004,186488861.5,1277.285975,6101,0.6
2025-06-14 00:00:00,11568,159410,199923116.9,1254.144137,5830,0.5
2025-06-13 00:00:00,14722,361761,663195280.1,1833.241505,8898,0.6
2025-06-12 00:00:00,14471,331595,519917892.9,1567.930436,8867,0.6
2025-06-11 00:00:00,14920,343383,499312729,1454.098569,9280,0.6
2025-06-10 00:00:00,17361,349355,583364561.8,1669.833155,10268,0.6
2025-06-09 00:00:00,17488,238390,332267083.5,1393.796231,10392,0.6
2025-06-08 00:00:00,11953,131649,133176668,1011.604099,7089,0.6
2025-06-07 00:00:00,17109,161286,145474452.2,901.9657761,11167,0.7
2025-06-06 00:00:00,22761,260873,325531534.5,1247.854452,15635,0.7
2025-06-05 00:00:00,15638,294879,502978834,1705.712628,10134,0.6
2025-06-04 00:00:00,18703,234322,284542496,1214.322582,11965,0.6
2025-06-03 00:00:00,20283,236756,306232445.7,1293.451679,13679,0.7
2025-06-02 00:00:00,11589,240826,324745545.3,1348.46547,7127,0.6
2025-06-01 00:00:00,10188,185008,212972252,1151.151583,6128,0.62
2025-05-31 00:00:00,11338,239611,272443867.8,1137.025712,6778,0.6
2025-05-30 00:00:00,12822,342692,530147225,1547.007882,7983,0.6
2025-05-29 00:00:00,13132,313303,481759302.9,1537.678551,7920,0.6
2025-05-28 00:00:00,11730,245014,357318899.2,1458.361152,6811,0.6
2025-05-27 00:00:00,12310,251396,437014276.5,1738.350159,7951,0.6
2025-05-26 00:00:00,12073,183530,241232124.2,1314.401592,7153,0.6
